MÊS,ANO,ROUBO,FURTO,HOMICÍDIO,FEMINICÍDIO,LATROCÍNIO,LESÃO CORPORAL SEGUIDA DE MORTE,CONFRONTO POLICIA CIVIL,CONFRONTO POLICIA MILITAR,ROUBO ACUMULADO,FURTO ACUMULADO,HOMICÍDIO ACUMULADO,FEMINICÍDIO ACUMULADO,LATROCÍNIO ACUMULADO,LESÃO CORPORAL SEGUIDA DE MORTE ACUMULADO,CONFRONTO POLICIA CIVIL ACUMULADO,CONFRONTO POLICIA MILITAR ACUMULADO
1,2019,844,8675,81,6,4,2,0,11,844,8675,81,6,4,2,0,11
2,2019,762,7342,44,5,0,0,0,8,1606,16017,125,11,4,2,0,19
3,2019,871,8401,62,5,5,2,1,7,2477,24418,187,16,9,4,1,26
4,2019,987,8892,56,8,4,3,0,9,3464,33310,243,24,13,7,1,35
5,2019,1007,8881,53,5,2,2,0,2,4471,42191,296,29,15,9,1,37
6,2019,921,8588,48,3,3,2,1,4,5392,50779,344,32,18,11,2,41
7,2019,940,8674,57,3,0,1,0,3,6332,59453,401,35,18,12,2,44
8,2019,1046,8765,49,5,2,1,1,4,7378,68218,450,40,20,13,3,48
9,2019,999,8550,44,1,1,0,0,6,8377,76768,494,41,21,13,3,54
10,2019,1008,9461,66,5,5,0,0,8,9385,86229,560,46,26,13,3,62
11,2019,958,8732,73,10,1,1,1,6,10343,94961,633,56,27,14,4,68
12,2019,961,9265,71,2,1,0,0,6,11304,104226,704,58,28,14,4,74
