MÊS,ANO,ROUBO,FURTO,HOMICÍDIO,FEMINICÍDIO,LATROCÍNIO,LESÃO CORPORAL SEGUIDA DE MORTE,CONFRONTO POLICIA CIVIL,CONFRONTO POLICIA MILITAR,ROUBO ACUMULADO,FURTO ACUMULADO,HOMICÍDIO ACUMULADO,FEMINICÍDIO ACUMULADO,LATROCÍNIO ACUMULADO,LESÃO CORPORAL SEGUIDA DE MORTE ACUMULADO,CONFRONTO POLICIA CIVIL ACUMULADO,CONFRONTO POLICIA MILITAR ACUMULADO
1,2022,688,8706,61,8,1,1,0,1,688,8706,61,8,1,1,0,1
2,2022,778,8781,41,4,3,0,0,4,1466,17487,102,12,4,1,0,5
3,2022,874,9015,44,2,0,1,0,3,2340,26502,146,14,4,2,0,8
4,2022,738,9327,59,10,0,1,0,3,3078,35829,205,24,4,3,0,11
5,2022,655,8792,48,3,1,3,0,3,3733,44621,253,27,5,6,0,14
6,2022,582,8527,34,2,4,0,0,6,4315,53148,287,29,9,6,0,20
7,2022,613,9338,48,2,3,2,0,2,4928,62486,335,31,12,8,0,22
8,2022,630,8976,48,5,1,1,1,3,5558,71462,383,36,13,9,1,25
9,2022,582,8946,51,3,3,4,0,4,6140,80408,434,39,16,13,1,29
10,2022,582,9825,51,6,3,1,0,5,6722,90233,485,45,19,14,1,34
11,2022,590,9383,48,6,0,3,0,1,7312,99616,533,51,19,17,1,35
12,2022,619,9966,63,5,5,1,0,8,7931,109582,596,56,24,18,1,43
